SN,MID_WID,SAP_New_Code,Nodal
575,1179625,9200000650,9200000650
576,1179732,9200000651,9200000651
577,1179739,9200000653,9200000653
578,1179811,9200000654,9200000654
579,1177838,9200000655,9200000655
580,1179189,9200000656,9200000656
581,1179600,9200000657,9200000657
582,1179783,9200000658,9200000658
583,1178250,9200000659,9200000659
584,1178620,9200000660,9200000660
585,1179485,9200000662,9200000662
586,1179794,9200000663,9200000663
587,1179688,9200000664,9200000664
588,1179677,9200000665,9200000665
589,1179902,9200000666,9200000666
590,1178846,9200000667,9200000667
591,1179144,9200000668,9200000668
592,1179618,9200000669,9200000669
593,1179343,9200000670,9200000670
594,1179566,9200000671,9200000671
595,1179726,9200000672,9200000672
596,1179884,9200000673,9200000673
597,1179838,9200000674,9200000674
598,1179815,9200000675,9200000675
599,1179074,9200000676,9200000676
600,1179507,9200000677,9200000677
601,1179833,9200000678,9200000678
602,1179008,9200000679,9200000679
603,1178898,9200000680,9200000680
604,1178874,9200000681,9200000681
605,1179480,9200000683,9200000683
606,1179492,9200000684,9200000684
607,1179499,9200000685,9200000685
608,1179797,9200000686,9200000686
609,1178864,9200000687,9200000687
610,1179623,9200000689,9200000689
611,1179248,9200000690,9200000690
612,1179544,9200000691,9200000691
613,1180062,9200000692,9200000692
614,1178566,9200000694,9200000694
615,1179311,9200000695,9200000695
616,1178977,9200000696,9200000696
617,1178903,9200000697,9200000697
618,1178912,9200000698,9200000698
619,1178308,9200000699,9200000699
620,1179942,9200000700,PFC
621,1175949,9200000705,9200000705
622,1179997,9200000706,9200000706
623,1180002,9200000707,9200000707
624,1180052,9200000708,9200000708
625,1180115,9200000709,9200000709
626,1180118,9200000710,9200000710
627,1180125,9200000711,9200000711
628,1177585,9200000712,9200000712
629,1178278,9200000713,9200000713
630,1180175,9200000714,9200000714
631,1178931,9200000715,9200000715
632,1179053,9200000716,9200000716
633,1179514,9200000717,9200000717
634,1179622,9200000718,9200000718
635,1179950,9200000719,9200000719
636,1179819,9200000720,9200000720
637,1179905,9200000721,9200000721
638,1180128,9200000722,9200000722
