Merchant_ID,TOTAL,PERIOD,Date
145977,-165.2,180326MARRE,19-Mar-26
45385,-164.22,180326MARRE,19-Mar-26
1189704,-163.74,180326MARRE,19-Mar-26
1181484,-163.04,180326MARRE,19-Mar-26
240539,-160.95,180326MARRE,19-Mar-26
191367,-157.59,180326MARRE,19-Mar-26
1200553,-156.2,180326MARRE,19-Mar-26
30696,-154.29004,180326MARRE,19-Mar-26
257855,-152.76,180326MARRE,19-Mar-26
251575,-146.62,180326MARRE,19-Mar-26
1181484,-145.57,180326MARRE,19-Mar-26
1151279,-145.4,180326MARRE,19-Mar-26
1211833,-143.03,180326MARRE,19-Mar-26
46085,-142.41,180326MARRE,19-Mar-26
30691,-141.22,180326MARRE,19-Mar-26
1181484,-138.78,180326MARRE,19-Mar-26
1189982,-136.46,180326MARRE,19-Mar-26
1220784,-136.28,180326MARRE,19-Mar-26
1216262,-135.5,180326MARRE,19-Mar-26
1189782,-133.62,180326MARRE,19-Mar-26
1290283,-133.62,180326MARRE,19-Mar-26
282339,-132.74,180326MARRE,19-Mar-26
142101,-132.22,180326MARRE,19-Mar-26
20374,-132.07,180326MARRE,19-Mar-26
716052,-129.34,180326MARRE,19-Mar-26
1181484,-129.07,180326MARRE,19-Mar-26
1292237,-128.29,180326MARRE,19-Mar-26
1181484,-127.14,180326MARRE,19-Mar-26
1213976,-127.02,180326MARRE,19-Mar-26
1224978,-127.02,180326MARRE,19-Mar-26
29070,-123.9,180326MARRE,19-Mar-26
1171761,-123.49,180326MARRE,19-Mar-26
28108,-121.65,180326MARRE,19-Mar-26
32751,-121.65,180326MARRE,19-Mar-26
100960,-121.54,180326MARRE,19-Mar-26
139986,-120,180326MARRE,19-Mar-26
170258,-120,180326MARRE,19-Mar-26
205554,-120,180326MARRE,19-Mar-26
230114,-120,180326MARRE,19-Mar-26
239972,-120,180326MARRE,19-Mar-26
243007,-120,180326MARRE,19-Mar-26
252154,-120,180326MARRE,19-Mar-26
256211,-120,180326MARRE,19-Mar-26
263106,-120,180326MARRE,19-Mar-26
269206,-120,180326MARRE,19-Mar-26
269888,-120,180326MARRE,19-Mar-26
279949,-120,180326MARRE,19-Mar-26
284033,-120,180326MARRE,19-Mar-26
285407,-120,180326MARRE,19-Mar-26
286523,-120,180326MARRE,19-Mar-26
287168,-120,180326MARRE,19-Mar-26
310961,-120,180326MARRE,19-Mar-26
319932,-120,180326MARRE,19-Mar-26
326387,-120,180326MARRE,19-Mar-26
328001,-120,180326MARRE,19-Mar-26
330633,-120,180326MARRE,19-Mar-26
336298,-120,180326MARRE,19-Mar-26
404049,-120,180326MARRE,19-Mar-26
413671,-120,180326MARRE,19-Mar-26
435649,-120,180326MARRE,19-Mar-26
479833,-120,180326MARRE,19-Mar-26
506591,-120,180326MARRE,19-Mar-26
515609,-120,180326MARRE,19-Mar-26
519999,-120,180326MARRE,19-Mar-26
535392,-120,180326MARRE,19-Mar-26
541600,-120,180326MARRE,19-Mar-26
567000,-114.24,180326MARRE,19-Mar-26
676124,-113.51,180326MARRE,19-Mar-26
1217125,-112.87,180326MARRE,19-Mar-26
1184241,-112.46,180326MARRE,19-Mar-26
1227929,-110.4,180326MARRE,19-Mar-26
30842,-110.11,180326MARRE,19-Mar-26
99476,-107.55,180326MARRE,19-Mar-26
21588,-106.2,180326MARRE,19-Mar-26
1181176,-104.07,180326MARRE,19-Mar-26
209764,-103.84,180326MARRE,19-Mar-26
1182706,-101.56,180326MARRE,19-Mar-26
838961,-100.3,180326MARRE,19-Mar-26
598126,-100,180326MARRE,19-Mar-26
1,-98.05,180326MARRE,19-Mar-26
1279679,-96.36,180326MARRE,19-Mar-26
1171679,-95.4,180326MARRE,19-Mar-26
36577,-91.81,180326MARRE,19-Mar-26
131750,-90.86,180326MARRE,19-Mar-26
1167270,-90.78,180326MARRE,19-Mar-26
1165871,-89.62,180326MARRE,19-Mar-26
95245,-89.61,180326MARRE,19-Mar-26
